 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Mean, Bwd Packet Length Mean,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Fwd IAT Mean, Bwd IAT Mean, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, SYN Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, Down/Up Ratio,Idle Mean, Label
80,72783942,8,5,56,11607,7,2321.4,160.2413895,0.178610826,6065328.5,10100000,458659.75,172,112,0.109914354,0.068696472,0,8675,833.5,0,0,1,0,0,69300000,DDoS
80,389308,3,4,26,11601,8.666666667,2900.25,29865.81319,17.98062203,64884.66667,14346.5,129733.6667,72,92,7.705980869,10.27464116,0,8760,1453.375,0,1,0,0,1,0,DDoS
80,72781961,8,5,56,11607,7,2321.4,160.245751,0.178615687,6065163.417,10100000,458477,172,112,0.109917346,0.068698341,0,8760,833.5,0,0,1,0,0,69300000,DDoS
80,391252,3,6,26,11601,8.666666667,1933.5,29717.41997,23.0030773,48906.5,14420,78239.2,72,132,7.667692434,15.33538487,0,2920,1162.7,0,1,0,0,2,0,DDoS
80,72778558,8,4,56,11607,7,2901.75,160.2532438,0.164883729,6616232.545,10100000,610904,172,92,0.109922486,0.054961243,0,11595,897.6153846,0,0,1,0,0,69300000,DDoS
80,389583,3,4,26,11601,8.666666667,2900.25,29844.73142,17.96792981,64930.5,14375,129842,72,92,7.700541348,10.26738846,0,5840,1453.375,0,1,0,0,1,0,DDoS
80,72800604,8,4,56,11607,7,2901.75,160.2047148,0.164833797,6618236.727,10200000,476858,172,92,0.109889198,0.054944599,0,11595,897.6153846,0,0,1,0,0,69700000,DDoS
80,391364,3,5,26,11601,8.666666667,2320.2,29708.91549,20.44132828,55909.14286,14443.5,97812.75,72,112,7.665498104,12.77583017,0,4380,1291.888889,0,1,0,0,1,0,DDoS
80,72799916,8,5,56,11607,7,2321.4,160.2062288,0.178571635,6066659.667,10200000,355761.75,172,112,0.109890237,0.068681398,0,7215,833.5,0,0,1,0,0,69700000,DDoS
80,391357,3,4,26,11601,8.666666667,2900.25,29709.44687,17.88648216,65226.16667,14442,130415.6667,72,92,7.665635213,10.22084695,0,8760,1453.375,0,1,0,0,1,0,DDoS
80,72798970,8,4,56,11607,7,2901.75,160.2083106,0.164837497,6618088.182,10200000,474347,172,92,0.109891665,0.054945832,0,11595,897.6153846,0,0,1,0,0,69700000,DDoS
80,391248,3,4,26,11601,8.666666667,2900.25,29717.7238,17.89146526,65208,14486.5,130381.3333,72,92,7.667770826,10.22369443,0,8760,1453.375,0,1,0,0,1,0,DDoS
80,72799022,8,4,56,11607,7,2901.75,160.2081962,0.164837379,6618092.909,10200000,468290.3333,172,92,0.109891586,0.054945793,0,11595,897.6153846,0,0,1,0,0,69800000,DDoS
80,376179,3,4,26,11601,8.666666667,2900.25,30908.15808,18.6081626,62696.5,7011.5,125384,72,92,7.97492683,10.63323577,0,8760,1453.375,0,1,0,0,1,0,DDoS
80,72798070,8,4,56,11607,7,2901.75,160.2102913,0.164839535,6618006.364,10200000,459314.3333,172,92,0.109893023,0.054946512,0,11595,897.6153846,0,0,1,0,0,69800000,DDoS
80,1220942,3,4,26,11607,8.666666667,2901.75,9527.889122,5.733278075,203490.3333,387,406960.6667,72,92,2.457119175,3.2761589,0,11595,1454.125,0,1,0,0,1,0,DDoS
80,71943819,8,5,56,11607,7,2321.4,162.1126062,0.180696552,5995318.25,10200000,211387,172,112,0.111197878,0.069498674,0,5840,833.5,0,0,1,0,0,70300000,DDoS
80,1220749,3,6,26,11607,8.666666667,1934.5,9529.395478,7.372522935,152593.625,364.5,244146.6,72,132,2.457507645,4.91501529,0,4380,1163.3,0,1,0,0,2,0,DDoS
80,71986918,8,6,56,11607,7,1934.5,162.0155484,0.19447978,5537455.231,10200000,130345.2,172,132,0.111131303,0.083348477,0,5840,777.9333333,0,0,1,0,0,70600000,DDoS
80,1209062,3,6,26,11607,8.666666667,1934.5,9621.508244,7.443787002,151132.75,222,241803.2,72,132,2.481262334,4.962524668,0,4380,1163.3,0,1,0,0,2,0,DDoS
80,71978231,9,6,62,11607,6.888888889,1934.5,162.1184605,0.208396341,5141302.214,8916122.5,130020.8,192,132,0.125037805,0.083358537,0,4380,729.6875,0,0,1,0,0,70600000,DDoS
80,912508,3,5,26,11607,8.666666667,2321.4,12748.38138,8.767046426,130358.2857,238.5,228118.75,72,112,3.28764241,5.479404016,0,7300,1292.555556,0,1,0,0,1,0,DDoS
80,72011614,8,6,56,11607,7,1934.5,161.9599861,0.194413085,5539354.923,10200000,136908.4,172,132,0.111093191,0.083319893,0,4380,777.9333333,0,0,1,0,0,70600000,DDoS
80,912716,3,5,26,11607,8.666666667,2321.4,12745.47614,8.765048493,130388,247,228167.25,72,112,3.286893185,5.478155308,0,10135,1292.555556,0,1,0,0,1,0,DDoS
80,72011636,8,5,56,11607,7,2321.4,161.9599366,0.18052638,6000969.667,10200000,157871,172,112,0.111093157,0.069433223,0,7215,833.5,0,0,1,0,0,70600000,DDoS
80,912887,3,6,26,11607,8.666666667,1934.5,12743.08868,9.858832473,114110.875,240,182543.4,72,132,3.286277491,6.572554982,0,5840,1163.3,0,1,0,0,2,0,DDoS
80,72010642,8,4,56,11607,7,2901.75,161.9621722,0.166642036,6546422,10200000,210133.3333,172,92,0.111094691,0.055547345,0,11595,897.6153846,0,0,1,0,0,70600000,DDoS
80,912930,3,5,26,11607,8.666666667,2321.4,12742.48847,8.762993877,130418.5714,250,228218.75,72,112,3.286122704,5.476871173,0,7215,1292.555556,0,1,0,0,1,0,DDoS
